Date of Journey,Airfare Price Index
2023-01-16,106.63833104609536
2023-01-17,99.3419113032734
2023-01-18,100.70559951243928
2023-01-19,92.37746114682788
2023-01-20,100.24264566574296
2023-01-21,98.8623346891107
2023-01-22,101.83171663651034
2023-01-23,94.64343556992657
2023-01-24,92.12804000260763
2023-01-25,97.85219791982588
2023-01-26,89.87302747783104
2023-01-27,88.57896165897417
2023-01-28,89.94406759894893
2023-01-29,99.82079340966077
2023-01-30,91.8909698353196
2023-01-31,85.5195415834498
2023-02-01,89.40637851285864
2023-02-02,86.31707227286795
2023-02-03,82.82437815375788
2023-02-04,88.95805941169908
2023-02-05,85.97565843697002
2023-02-06,84.2510413276377
2023-02-07,84.22741061114624
2023-02-08,82.91954901253166
2023-02-09,75.26031074800107
2023-02-10,84.21018548020221
2023-02-11,91.73360889844992
2023-02-12,80.43306883468986
2023-02-13,81.77010606425792
2023-02-14,78.47607232894886
