Date of Journey,Airfare Price Index
2023-01-16,106.63833104609537
2023-01-17,99.3419113032734
2023-01-18,100.70559951243929
2023-01-19,92.37746114682787
2023-01-20,100.24264566574297
2023-01-21,98.8623346891107
2023-01-22,101.83171663651034
2023-01-23,94.64343556992655
2023-01-24,92.12804000260765
2023-01-25,97.85219791982587
2023-01-26,89.87302747783104
2023-01-27,88.57896165897417
2023-01-28,89.94406759894893
2023-01-29,99.82079340966075
2023-01-30,91.89096983531961
2023-01-31,85.5195415834498
2023-02-01,89.40637851285864
2023-02-02,86.31707227286795
2023-02-03,82.82437815375788
2023-02-04,88.95805941169908
2023-02-05,85.97565843697002
2023-02-06,84.2510413276377
2023-02-07,84.22741061114624
2023-02-08,82.91954901253166
2023-02-09,75.26031074800107
2023-02-10,84.21018548020221
2023-02-11,91.73360889844993
2023-02-12,80.43306883468986
2023-02-13,81.77010606425792
2023-02-14,78.47607232894886
2023-02-15,81.80219519654051
2023-02-16,79.39273482015467
2023-02-17,78.31385737155668
2023-02-18,79.67863915378102
2023-02-19,80.82145775145717
2023-02-20,75.29179664876347
2023-02-21,78.85479889661003
2023-02-22,80.57522679669788
2023-02-23,84.04197878367633
2023-02-24,80.8458926947418
2023-02-25,81.67851492845242
2023-02-26,79.09432850763068
2023-02-27,83.59038333687259
2023-02-28,80.67130383974612
2023-03-01,73.88883792545566
2023-03-02,75.81077639255281
2023-03-03,79.54670632856418
2023-03-04,82.67529727199985
2023-03-05,87.15035076625061
2023-03-06,77.11683658775799
